example_id,theme,profile_id,chat_message,major,city,skills,interest,program_type,work_mode,rank_by_target,opportunity_id,company_name,program_name,opportunity_role_cluster,opportunity_required_skills,opportunity_preferred_skills,target_score,predicted_score,absolute_error
6,Network engineering (Dhahran),ce-network-dhahran,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,3,26,Yasref,Yasref Cooperative Training Program,Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,65.0,56.15507279818541,8.844927201814592
6,Network engineering (Dhahran),ce-network-dhahran,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,4,142,Saudi Tadawul Group | تداول,Cooperative Training Program (COOP),Software Engineering,linux; networking; cybersecurity fundamentals; security fundamentals; python; apis; sql; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; docker; testing; cloud; rest apis; typescript; ui testing,62.0,67.39506890346306,5.395068903463056
6,Network engineering (Dhahran),ce-network-dhahran,Computer engineering student at KFUPM in Dhahran seeking network engineer COOP.,CE,Dhahran,linux; c++,Computer Engineering,COOP,On-site,5,27,"Saudi Standards, Metrology and Quality Organization (SASO)",Cooperative Training (Collaborative Training),Network Engineering,networking; linux; security fundamentals; cybersecurity fundamentals,firewall; siem; incident response; network monitoring; soc; penetration testing; vulnerability assessment,62.0,56.15507279818541,5.844927201814592
7,Strong prediction (low error),ds-gpa-ielts,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,DS,Riyadh,sql; python,,Internship,On-site,1,155,Laverne Group | مجموعة لافيرن,Data Analyst / Data Engineer Intern (IT Department),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,70.67,64.15458071387773,6.515419286122267
7,Strong prediction (low error),ds-gpa-ielts,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,DS,Riyadh,sql; python,,Internship,On-site,2,79,Tabby,Intern Data Engineer,Data Engineering,python; apis; sql; git; machine learning; data analysis; etl,docker; testing; cloud; rest apis; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi,65.67,62.50627090010074,3.163729099899264
7,Strong prediction (low error),ds-gpa-ielts,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,DS,Riyadh,sql; python,,Internship,On-site,3,24,MOZN,Data Science Intern,Data Science,python; machine learning; data analysis; sql; etl,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; statistics; pandas; visualization,65.67,59.28684854083907,6.383151459160935
7,Strong prediction (low error),ds-gpa-ielts,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,DS,Riyadh,sql; python,,Internship,On-site,4,140,Bosch Middle East,Software Development Intern (AI/Cloud),Data Science,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react; docker,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; testing; cloud; rest apis; typescript; ui testing; kubernetes; ci/cd; aws; azure; terraform; statistics; pandas; visualization,64.67,65.40628536805526,0.7362853680552632
7,Strong prediction (low error),ds-gpa-ielts,Data science student with GPA 4.5 and IELTS looking for internship in Riyadh.,DS,Riyadh,sql; python,,Internship,On-site,5,150,Boeing Saudi Arabia Limited,Intern - Info Technology & Data Analytics (Riyadh),Data Analytics,linux; networking; cybersecurity fundamentals; security fundamentals; python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,siem; soc; penetration testing; incident response; vulnerability assessment; firewall; network monitoring; nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing; statistics; pandas; visualization,63.67,64.15458071387773,0.4845807138777331
8,Weak prediction (high error),remote-only-de,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,1,156,Meel | ميل,"Software Developer Internship (Remote, min 2 months)",Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,63.5,61.35495455515138,2.14504544484862
8,Weak prediction (high error),remote-only-de,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,2,161,AFNOYS,"AI Automation Intern - KSA (Remote, 4 weeks)",General Computing,python; machine learning; data analysis; sql; etl; apis; git; javascript; html; css; react,nlp; llm; model training; tensorflow; pytorch; pipelines; spark; data warehouse; bi; docker; testing; cloud; rest apis; typescript; ui testing,63.5,58.35353495214817,5.146465047851827
8,Weak prediction (high error),remote-only-de,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,3,77,Tabby,Intern Backend (GO) Engineer,Software Engineering,python; apis; sql; git; javascript; html; css; react,docker; testing; cloud; rest apis; typescript; ui testing,61.5,61.35495455515138,0.1450454448486198
8,Weak prediction (high error),remote-only-de,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,4,4,Saudi National Bank (SNB),SNB Cooperative Training Program,General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,58.5,49.10922996573714,9.390770034262856
8,Weak prediction (high error),remote-only-de,Data engineering student seeking fully remote training anywhere in Saudi Arabia.,DE,Remote,python; sql,,Training,Remote,5,5,Al Rajhi Bank,Cooperative Training Program,General Computing,python; apis; sql; git,docker; testing; cloud; rest apis,58.5,45.97644080005252,12.523559199947478
